iter	RMSE
0	14.13360382
1	13.328109
2	12.60805687
3	11.92222875
4	11.36788483
5	10.84370081
6	10.39291942
7	9.921467409
8	9.463505835
9	9.173587145
10	8.786302659
11	8.453166458
12	8.211896476
13	7.979039601
14	7.745879616
15	7.553731067
16	7.383785523
17	7.218820883
18	7.054448024
19	6.935128306
20	6.812019416
21	6.710924943
22	6.606487018
23	6.515859324
24	6.42202919
25	6.35165277
26	6.28501458
27	6.206012951
28	6.148610737
29	6.09256571
30	6.040834327
31	5.990883961
32	5.951435372
33	5.923032699
34	5.887030151
35	5.862414408
36	5.83300499
37	5.799408608
38	5.774952369
39	5.748159946
40	5.728969775
41	5.703569044
42	5.686028388
43	5.669233909
44	5.652803453
45	5.626419821
46	5.613714337
47	5.602371166
48	5.588615955
49	5.572105332
50	5.560316582
51	5.540509121
52	5.523103402
53	5.506986664
54	5.49423673
55	5.482720063
56	5.469489992
57	5.453816484
58	5.444543509
59	5.435777318
60	5.426641535
61	5.41640546
62	5.409213779
63	5.403223819
64	5.397616713
65	5.392653816
66	5.380350337
67	5.376651689
68	5.368620911
69	5.36392786
70	5.359355183
71	5.3465242
72	5.334816856
73	5.32649211
74	5.319445202
75	5.314455039
76	5.308090043
77	5.29787871
78	5.291920062
79	5.287327531
80	5.276644043
81	5.270524803
82	5.264754124
83	5.257484022
84	5.253855497
85	5.249709873
86	5.246519483
87	5.243148699
88	5.234548202
89	5.231574672
90	5.225670555
91	5.22299249
92	5.220063567
93	5.212756611
94	5.206828736
95	5.199403426
96	5.196192036
97	5.191636138
98	5.189089263
99	5.185359625
