iter	Passed	Remaining
0	0	60
1	1	60
2	1	56
3	2	52
4	2	50
5	3	49
6	3	50
7	4	50
8	5	53
9	6	54
10	6	52
11	7	52
12	7	51
13	8	50
14	8	49
15	9	47
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	39
26	14	39
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	38
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	26	32
45	27	32
46	27	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
